instruction_category,images,images_blip2_captions,instruction,reference_output,LlamaAdapter-v2 prediction
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/170_tested_skill_graph_reasoning_23d788568aeffe14.png""]","[""a bar chart that shows the number of people in the united states""]","What issue is of the largest concern, and which is the least, according to the chart?  How significant are legal issues compared to policy ones?",,"The chart shows that the issue of networking is of the largest concern, followed by security, and then policy. The least concern is legal issues. This suggests that the respondents perceive networking and security as more pressing issues than legal issues. However, it is important to note that the chart does not provide any context or specific details about the nature of these issues, so the relative importance of each issue may vary depending on the context."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/171_tested_skill_graph_reasoning_1d5989fd21188f1a.png""]","[""a pie chart showing the number of visits per hour""]",What percentage of the visit length is between 5 seconds to 5 minutes?,,The pie chart shows that 15% of the visit length is between 5 seconds to 5 minutes.
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/172_tested_skill_graph_reasoning_e1941a68d9636e1e.png""]","[""a screenshot of a graph showing a line graph""]",Can you tell me the average visits from September to December 08?,,"The image shows a graph with a line that represents the average visits from September to December 08. However, without more information, it is not possible to provide an exact value for the average visits."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/372_tested_skill_history_knowledge_Bundesarchiv_Bild.png""]","[""a black and white photo of the ruins of berlin""]",Is the percentage of adults smoking increasing or decreasing over the period shown on the graph? Use data points from individual years to explain your answer.,,"The percentage of adults smoking is decreasing over the period shown on the graph. The data points from individual years indicate that the percentage of adults smoking has been decreasing since 1965, with the lowest point being in 2018. This trend suggests that the number of adults smoking has been declining over time, which is a positive development for public health."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/174_tested_skill_graph_reasoning_a9c950d136986c4a.png""]","[""a plot of a sphere with a blue line""]",Do the connected points on this graph seem to look like a real world object? Does any of the values exceed 2?,,"Yes, the connected points on this graph do look like a real world object, and some of the values exceed 2."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/175_tested_skill_graph_reasoning_3da8e6e955495b29.png""]","[""a heart with the words honesty, trust and respect written on it""]",Would this graph's information still be true if you removed any single one of the data points? Why?,,"Yes, the graph's information would still be true if you removed any single one of the data points. This is because the graph is a representation of a relationship between two variables, trust and respect, and the data points represent the values of these variables. The relationship between trust and respect is that as trust increases, respect also increases, and vice versa. This means that if you remove any single data point, the relationship between trust and respect would still hold true."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/176_tested_skill_graph_reasoning_2fbb634fd04b32c8.png""]","[""a graph showing the average temperature of the sun""]",Explain how the max length relates to the elevation and distance according to the chart.,,"The max length on the chart represents the maximum elevation, which is the highest point on the mountain. The distance is the total length of the mountain, which includes the elevation and the horizontal distance between the two points."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/177_tested_skill_graph_reasoning_16a7f9be49ef66ea.png""]","[""how to create a pie chart in excel""]",Which individual sales person contributed the highest amount to group sales? Which sales person contributed the least? Explain how the chart shows this.,,"In the image, the sales chart shows that Salesperson 1 contributed the highest amount to group sales, while Salesperson 3 contributed the least. The chart displays the sales figures for each salesperson, with Salesperson 1's sales totaling $1,000, Salesperson 2's sales totaling $500, and Salesperson 3's sales totaling $200. The chart also shows that Salesperson 1 contributed the most to group sales, while Salesperson 3 contributed the least. This information is presented visually through the pie chart, which displays the sales figures for each salesperson as a percentage of the total group sales."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/178_tested_skill_graph_reasoning_2a674601a39567da.png""]","[""a graph that shows the number of snow days in a year""]","Between which times was the altitude at Snowdon, as shown on the graph, above 1100?",,"The altitude at Snowdon, as shown on the graph, was above 1100 meters (3609 feet) for a period of time between 10:00 and 11:00."
Graph Reasoning,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/179_tested_skill_graph_reasoning_292af0a91f8462aa.png""]","[""a diagram of the change curve""]",Who is most responsible for sustainable change first?,,"The most responsible for sustainable change first is the person who is in charge of the change. In this case, the person in charge is the one who is responsible for leading the change and ensuring that it is implemented effectively."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/180_tested_skill_house_plan_understanding_8a418e2047986679.png""]","[""a drawing of a bathroom with a toilet and a sink""]","Is there adequate room for me to get into the bathroom with a wheelchair, and be able to close the door behind me, without the sink being in my way?",,"Yes, there is enough space in the bathroom for a wheelchair user to enter and close the door behind them, without the sink being in their way."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/181_tested_skill_house_plan_understanding_0b320d5a4d8eb961.png""]","[""a floor plan showing the layout of a room""]",Which of the three whiteboards can be seen face-on by the lowest number of seated people in the current configuration of this room?,,The whiteboard that can be seen face-on by the lowest number of seated people in the current configuration of this room is the one on the left side.
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/182_tested_skill_house_plan_understanding_7f2463682e134bac.png""]","[""a floor plan of a building with a swimming pool""]","I just got done playing a game of live action checkers, and I want to cool off with a swim; can you guide me to where I need to go?",,"Yes, I can guide you to the location of the swimming pool in the image. The swimming pool is located in the middle of the park, surrounded by trees and greenery. It is a large, open area with a blue tiled pool and a white fence surrounding it. You can find the pool by walking towards the center of the park, where the swimming pool is located."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/183_tested_skill_house_plan_understanding_987f174fdb8c2c64.png""]","[""a floor plan for a townhouse in brooklyn""]",What route do I need to take to get to the laundry room?,,"To get to the laundry room, you need to take the stairs located on the left side of the house."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/184_tested_skill_house_plan_understanding_78ac36a617cf6ca2.png""]","[""a floor plan of a house with a basement and a first floor""]",Does the stairway from the basement allow traveling to the second floor without moving through another room first?,,"Yes, the stairway from the basement allows traveling to the second floor without moving through another room first."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/185_tested_skill_house_plan_understanding_09a983d4345baa82.png""]","[""a drawing of the floor plan for a house""]",How do I go from the kitchen to the smallest bedroom in the house?,,"To go from the kitchen to the smallest bedroom in the house, you would need to follow the path shown in the architectural drawing. The path starts from the kitchen, goes through the living room, and then continues through the dining room, which is located between the kitchen and the living room. From there, you would need to go through the hallway, which is located between the living room and the dining room, and then through the smallest bedroom."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/186_tested_skill_house_plan_understanding_7baa874e7a19c458.png""]","[""a drawing of a house with a circular floor plan""]",Which floor has the most windows?,,The second floor has the most windows.
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/187_tested_skill_house_plan_understanding_a7859b3c090ec056.png""]","[""a diagram of a building with a lot of people in it""]",Where would be the most optimal place to incorporate a swimming pool?,,"The most optimal place to incorporate a swimming pool in the building would be in the basement, as shown in the image. This location offers several advantages, such as easy access to the pool, ample space for the pool, and the ability to take advantage of the natural coolness of the basement. Additionally, the basement is often used for storage or other non-essential functions, which can free up space in the rest of the building for other purposes."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/188_tested_skill_house_plan_understanding_9dfe1376db871f93.png""]","[""a blueprint showing the floor plan of a house""]",How do I get from the bedroom to the playroom? I want to walk past the linen cupboards.,,"To walk from the bedroom to the playroom, you can follow the path shown in the blueprint. Start from the bedroom, which is located on the left side of the blueprint, and walk towards the right side of the blueprint. You will pass by the linen cupboards on your way to the playroom."
House Plan Understanding,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/189_tested_skill_house_plan_understanding_22ec52b7ac1a3b4a.png""]","[""a drawing of a small house with two bedrooms and a bathroom""]",How do you get from the kitchen to the room with 2 beds?,,"To get from the kitchen to the room with 2 beds, you can walk through the doorway in the kitchen and continue walking through the hallway. The hallway connects the kitchen and the room with 2 beds, so you can easily navigate between the two spaces."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/190_tested_skill_medical_3fba6495dc4f6bfe.png""]","[""a person's hand with a blue bandage on it""]",Is this likely to be a very serious wound? Why might a lot of time spent in sunlight create an additional reminder of this injury later?,,"Yes, this is likely to be a very serious wound, as it is described as a deep cut on the hand. Deep cuts can cause significant damage to the skin, tissues, and underlying structures, and they often require medical attention. The additional reminder of this injury later could be due to the fact that the blue bandage is a visible and noticeable sign of the injury. The blue color of the bandage stands out against the skin, making it more noticeable and memorable. This could serve as a constant reminder of the injury and the need to be cautious in the future to avoid similar accidents."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/264_tested_skill_fashion_products_Wedding_rings.png""]","[""two wedding rings sitting on top of an open bible""]","What is being measured here?  What are the optimal values one should hope for, based on the person's age and gender?",,"The rings being measured in the image are wedding rings, which are typically worn by couples during their wedding ceremony. The optimal values for the rings' measurements depend on the person's age and gender. For a woman, the ring size should be approximately 5-7, while for a man, it should be around 8-10. These values are based on the average finger size of the respective genders. However, it is important to note that these are general guidelines and not hard and fast rules. The person's finger size and shape should be considered when choosing the right ring size to ensure a comfortable fit and aesthetic appeal."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/192_tested_skill_medical_1e683451861534ad.png""]","[""a woman is holding a toothbrush in her hand""]",What medical ailments is this treatment often used for?  Is it prescribed in every state?,,"The use of medical marijuana is often prescribed for various medical ailments, such as chronic pain, nausea, and loss of appetite. However, the legal status of medical marijuana varies from state to state. In some states, medical marijuana is legal and can be prescribed by a licensed physician. In other states, medical marijuana is legal but requires a specific medical condition to be eligible for prescription. In some states, medical marijuana is not legal at all, and its use is prohibited. It is essential to check the local laws and regulations in each state to determine the legality of medical marijuana and its availability for prescription."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/193_tested_skill_medical_083a5e6da19c6fa9.png""]","[""a woman is cutting her hair with a pair of scissors""]",What is the item on her head? Do you think she has a serious illness?,,"Yes, the woman has a serious illness, as she is wearing a headband with a medical device attached to it."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/274_tested_skill_who_to_call_4322239586_3e6173f94e_b.png""]","[""a man sitting on a bridge with an acoustic guitar""]",Are the two people standing above the person both likely of equal status and knowledge? What indications are there one might have more experience in treating this patient?,,"Based on the image, it is not possible to definitively determine the status and knowledge of the two people standing above the patient. However, one person is playing a guitar, which suggests that they might have some musical experience or talent. This could indicate that they might have more experience in treating the patient, as music therapy is often used to help patients with various conditions, such as depression, anxiety, or stress. On the other hand, the other person could be a friend, family member, or caregiver who is simply accompanying the patient and providing emotional support."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/310_tested_skill_art_knowledge_A_Sunday_on_La_Grande_Jatte.png""]","[""a painting of people in the park with umbrellas and dogs""]",Does an injury of this nature usually require amputation? What is the treatment for it?,,"Injuries that require amputation are typically severe and life-threatening, and they are usually caused by accidents, trauma, or infections. In the case of the man in the image, it is not clear from the image whether the injury is life-threatening or not. However, if the injury is severe enough to require amputation, the treatment would typically involve surgical intervention to remove the affected limb. This is done to prevent further infection, reduce pain, and improve the overall health of the patient. The patient would then undergo rehabilitation to regain mobility and function in the affected area."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/196_tested_skill_medical_d31cdd57fa433131.png""]","[""a computerized tomography machine""]",What are the safety precautions that must be taken when undergoing a diagnostic test in the device shown in the image?,,"When undergoing a diagnostic test in the device shown in the image, which is a CT scanner, there are several safety precautions that must be taken to ensure the patient's safety and the accuracy of the test results. These precautions include:1. Wearing appropriate clothing: The patient should wear loose, comfortable clothing that does not have metal or any other metallic objects that could interfere with the CT scan.2. Removing jewelry: The patient should remove all jewelry, including watches, necklaces, bracelets, and earrings, as these can interfere with the CT scan and may cause injury during the procedure.3. Informing the technician about any medical conditions or allergies: The patient should inform the technician about any medical conditions or allergies they may have, as some medications or substances used during the CT scan may not be suitable for certain individuals.4. Remaining still during the scan: The patient must remain still during the scan to ensure the best possible image quality. Movement can lead to blurred or incomplete images, which may affect the accuracy of the results.5. Following the technician's"
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/197_tested_skill_medical_ffc130e75bedbf8e.png""]","[""a man posing with his hands on his face""]",Is this person's malady likely to be physical or mental?  What chemical remedies might a doctor prescribe?,,"The man's malady is likely to be mental, as he is seen with his hand on his face, which is a common gesture associated with stress, anxiety, or depression. A doctor might prescribe chemical remedies such as antidepressants, anti-anxiety medications, or cognitive behavioral therapy to help the man cope with his mental health issues. These medications can help alleviate symptoms and improve the person's overall well-being."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/309_tested_skill_tour_guide_800px-Stanley_Hotel.png""]","[""a large white mansion with a clock tower on the front""]","What organ system is being tested for this man? Judging by his physique, what organ system is being overloaded?",,"Based on the man's physique, it is likely that he is being tested for his kidney function. His large belly and bloated appearance suggest that he may have a kidney problem, such as kidney failure or kidney disease. The presence of a flag on the building in the background also indicates that the testing is taking place in a medical facility or a hospital."
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/199_tested_skill_medical_dd2434ffbeb19b24.png""]","[""a baby's foot""]",What is the preferable treatment for the person considering the age?,,"Considering the age of the person in the image, which is a baby, the preferable treatment would be to use a gentle and soothing approach to care for the baby's feet. This could include using a soft, clean cloth to gently wipe the baby's feet, avoiding harsh soaps or chemicals that could irritate the skin. It is also important to ensure that the baby's feet are kept clean and dry, as this can help prevent infections and other skin issues. Additionally, it is essential to provide a comfortable and safe environment for the baby to develop and grow, which includes using appropriate bedding, clothing, and other items that are gentle on the baby's skin."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/200_tested_skill_pop_culture_4cadf03ca32ec5b7.png""]","[""a group of people dressed up as star wars characters""]",Would the stormtrooper in front of Darth Vader likely meet the minimum physical requirements for soldiers of the Empire? Is the placement of the red badge likely to be in compliance with protocol?,,"Yes, the stormtrooper in front of Darth Vader likely meets the minimum physical requirements for soldiers of the Empire. Stormtroopers are known for their strength, agility, and endurance, which are essential for their role as elite soldiers in the Empire. The placement of the red badge on the stormtrooper's chest is likely to be in compliance with protocol, as it is a symbol of rank and authority within the Empire. The stormtrooper's position in front of Darth Vader indicates that he is likely a subordinate or a member of the Imperial Guard, which is a specialized branch of the Imperial Army responsible for protecting the Emperor and other high-ranking officials."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/201_tested_skill_pop_culture_ed6199f8909b96e9.png""]","[""a 3d rendering of a man in a silver suit""]","Colloquially known as royalty, this person had a father-in-law who was also regarded as royalty. What are the titles associated with these two people? And what dance is the younger one famous for?",,"The younger person, who is a famous dancer, is known as the Prince of Wales. His father-in-law, who is also regarded as royalty, is the Duke of Edinburgh. The Prince of Wales is the heir apparent to the British throne, while the Duke of Edinburgh is the husband of Queen Elizabeth II. The Prince of Wales is famous for his involvement in charitable causes and his passion for dance, particularly the tango. The Duke of Edinburgh is known for his public service and philanthropic work, as well as his interest in military history and aviation."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/279_tested_skill_who_to_call_Iron_Maiden_046.png""]","[""a man in a red suit holding a british flag""]",What other controversial outfits has this celebrity worn? Which one is considered to be the most off-putting?,,"In addition to the Union Jack outfit, the celebrity has also worn a controversial outfit that features a swastika. This outfit is considered to be the most off-putting, as it is associated with Nazi Germany and its atrocities during World War II. The Union Jack outfit, on the other hand, is not as controversial and has been worn by other celebrities in the past without causing as much outrage."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/203_tested_skill_pop_culture_f8dde8bd069a80ec.png""]","[""the beatles on a segway crossing the street""]",This image is inspired by a popular album cover. Which album is it? Can you tell me about the product which has been added to this image and who invented it?,,"The image is inspired by the famous album cover of The Beatles' ""Abbey Road"" album, released in 1969. The product added to this image is a Segway, a personal transporter invented by Dean Kamen in 2001."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/204_tested_skill_pop_culture_0c361f99f3543e0b.png""]","[""a poster of a woman in a yellow bikini with bananas on her head""]",What magazine made this person famous?  Is she still sought after today?,,"The woman in the image is famous for her appearance on the cover of a magazine, which is a poster. It is not possible to determine the exact magazine from the image, but it is evident that she is sought after as a model. Her fame may have been due to her striking appearance, her unique style, or her ability to capture the attention of the public. However, it is not possible to definitively determine her current status or popularity without more information."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/205_tested_skill_pop_culture_35243b1d9da7a512.png""]","[""beyonce in a silver dress""]","Who is the singer in the image? In what event, did she wear this dress?",,"The singer in the image is Beyoncé, and she wore this dress during the 2014 Grammy Awards."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/206_tested_skill_pop_culture_1c0f6291dea1adb6.png""]","[""a woman with black makeup and black gloves""]","Is this performer likely to sing about happy themes?  What are they trying to make others think of with the make-up on their face, especially on the left by their lips?",,"It is difficult to determine the exact themes or messages that the performer is trying to convey with their make-up. However, given the black and white make-up on their face, it is possible that they are trying to create a dramatic or striking appearance, which could be associated with various themes or messages. For example, they might be trying to evoke a sense of mystery, drama, or even a sense of danger. The make-up could also be used to express their artistic vision or personal style, which could be interpreted differently by different people."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/207_tested_skill_pop_culture_21974a495e0f6bb6.png""]","[""lady gaga in concert""]",Who influence the bra outfit of the artist shown in the image?,,"The bra outfit of the artist shown in the image is influenced by Lady Gaga, who is known for her unique and bold fashion choices."
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/208_tested_skill_pop_culture_9e73f3878388820f.png""]","[""obama on the cover of time magazine""]",Who was the actor that played the character that the person featured on the magazine cover is made to appear as? Have they been in any recent movies?,,"The actor who played the character that the person featured on the magazine cover is made to appear as is Johnny Depp. He is a well-known and highly successful actor who has been in numerous movies and has won several awards for his performances. Some of his most notable films include ""Pirates of the Caribbean"" series, ""Finding Neverland,"" ""Sweeney Todd: The Demon Barber of Fleet Street,"" and ""The Aviator."""
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/270_tested_skill_who_to_call_Azerbaijan_State.png""]","[""an ornate building on a cloudy day""]",What faction does the color of the lightsaber indicate?  What might occur by holding it in this manner?,,"The color of the lightsaber in the image is red, which indicates that it belongs to the Sith faction. Holding the lightsaber in this manner, with the hilt pointing upwards, could be a show of power or a display of dominance. It could also be a symbolic gesture, as the Sith are known for their dark and aggressive nature. However, it is important to note that the lightsaber is not in use, as it is not emitting a beam of light."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/210_tested_skill_write_a_story_example_story.png""]","[""a bunny and a tortoise in a field""]",Write a short children story about the relationship between the two animals in the image,,"In a lush green field, a turtle and a rabbit are enjoying each other's company. The turtle is peacefully walking along the grass, while the rabbit is happily hopping around nearby. The two animals have become friends, and they spend their days playing and exploring the field together. They often share stories about their adventures and help each other out when they need assistance. The turtle and the rabbit have formed a strong bond, and they are always there for each other when they need support or companionship. Their friendship is a testament to the power of kindness and the importance of building relationships with others, even if they come from different backgrounds."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/211_tested_skill_write_a_story_0a398a6311419953.png""]","[""a black and white photo of gears on a machine""]",Write a short story about the movement focusing on the connections between the individual pieces of the object shown in the image.,,"The image depicts a large, intricate machine with numerous gears and cogs, all working together to create a complex system. The gears and cogs are connected in various ways, with some being connected to other gears, while others are connected to the cogs. The gears and cogs are all spinning, moving, and turning, creating a mesmerizing and intricate display of mechanical engineering.The machine is designed to perform a specific task, and the gears and cogs are essential components that work together to achieve this goal. The connections between the individual pieces are crucial, as they ensure that the machine functions properly and efficiently. The machine's designers have carefully planned and engineered the connections to ensure that the gears and cogs work together seamlessly, allowing the machine to perform its task with precision and accuracy.The machine's designers have also created a system of checks and balances to ensure that the machine remains stable and reliable. The connections between the gears and cogs are designed to withstand the wear and tear of constant use, while also allowing for some flexibility to accommodate minor changes in the system.The machine's designers have also incorporated safety features to prevent"
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/212_tested_skill_write_a_story_59c5603789d2a764.png""]","[""the writing process is shown in this poster""]",Write a short story about a student writing an essay and their experiences going through each of the stages shown in the image.,,"The student is a young man who is working hard on his essay. He has just started writing and is in the process of brainstorming ideas. He is using a notebook and a pen to take notes and jot down ideas. He is also looking at a computer screen, possibly researching or checking his work.As he continues writing, he starts to revise his work. He is using a red pen to mark up his essay, making changes and corrections. He is also looking at his work on the computer screen, making sure everything is accurate and well-written.After revising, the student moves on to proofreading. He is using a magnifying glass to carefully check every word and sentence for errors. He is also looking at his work on the computer screen, making sure it is free of mistakes.Finally, the student submits his essay to his teacher. He is proud of his work and hopes to receive a good grade. He is holding a piece of paper with his essay on it, ready to hand it in.The student has gone through the entire process of writing, revising, proofreading, and submitting his essay. He has worked hard and is confident in his abilities."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/213_tested_skill_write_a_story_9d3337b9b86f7256.png""]","[""a drawing of a girl holding a flower""]","Write a story about who this girl is presenting this plant to, and why.  There should be backstory about her favorite color, and who bought her a dress that has it.",,"The little girl in the image is presenting a flower to someone, likely a loved one or a close friend. She is holding a flower in her hand, and the flower is in a vase. The flower is a white rose, which is her favorite color. The girl is dressed in a yellow dress, which is her favorite color as well. The backstory of the scene is that the girl's favorite color is yellow, and she received a beautiful yellow dress as a gift. She is now presenting the flower to someone as a token of her appreciation for the gift. The person receiving the flower might be someone who has a special connection to the girl, such as a parent, sibling, or close friend. The girl is showing her gratitude and love for the person by giving them a flower, which symbolizes her affection and appreciation."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/214_tested_skill_write_a_story_6e605d9f8d1b7904.png""]","[""a black and white photo of a young boy playing the piano""]",Write a short children’s story about the person in the photograph and the activity they are doing. Anthropomorphize the inanimate object in the picture and tell the story from its perspective.,,"In the image, a young boy is sitting at a piano, playing a song. He is enjoying himself as he plays the keys, creating beautiful music. The piano is watching the boy with curiosity and admiration, as it is fascinated by the boy's talent and skill. The piano is filled with joy and excitement as it witnesses the boy's passion for music. The boy's love for music and the piano's admiration for his talent create a heartwarming bond between the two. The piano is inspired by the boy's talent and hopes to learn more from him, as it watches him play with awe and wonder."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/215_tested_skill_write_a_story_7a43d69f71ab0dad.png""]","[""a black and white photo of a woman holding a paper cup""]",Write a story about someone who is the opposite sex of the person in the image. The story should include the item held by the person as well.,,"In the image, a woman is holding a white cup, which she is drinking from. She is sitting at a table, and her facial expression suggests that she is enjoying her beverage. The story could revolve around a man who is the opposite sex of the woman in the image. He is sitting at a different table, also holding a white cup, and he is drinking from it as well. The man is also enjoying his beverage, and he is smiling as he takes a sip. The story could explore the similarities and differences between the two individuals, their shared experience of drinking from the same cup, and the connection they might feel as they share a moment of relaxation and enjoyment."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/216_tested_skill_write_a_story_3b961e9805030dbe.png""]","[""a black and white drawing of a samurai holding a sword""]",Write a short story about the relationship between the character and the item that he is holding.,,"The character in the image is a samurai holding a sword. He is standing in a field, surrounded by a cloud of smoke. The sword is a symbol of his strength, honor, and commitment to his cause. The character is a warrior who has dedicated his life to protecting his people and upholding the values of his culture. He is a master of the sword, and his skill and dedication are evident in the way he holds it. The sword is not just a weapon for him, but a symbol of his identity and the path he has chosen. The character's relationship with the sword is one of loyalty, honor, and a deep connection to his heritage and the values he represents."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/217_tested_skill_write_a_story_51ad2adbcb9adbab.png""]","[""a black and white image of two hands reaching for each other""]","I want a story that explains the relationship between these two people, where one of them is dead and has had to dig themselves out of a grave, but I want it to be uplifting instead of scary.",,"In this story, two people, a man and a woman, are inseparable friends who have been through many adventures together. One day, they decide to go on a camping trip in the woods. During their journey, they come across a grave that has been dug out. The man, being the more adventurous of the two, decides to explore the grave. However, he soon realizes that the grave is not empty, and he has to dig himself out of it. The woman, being the more cautious of the two, is waiting for him nearby, but she is shocked and worried when she sees him struggling to get out of the grave. She rushes to his aid, helping him out of the grave and back to safety. The two friends realize that their friendship is stronger than ever, and they vow to always be there for each other, no matter what challenges they may face."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/218_tested_skill_write_a_story_44d5a33d68aa5d03.png""]","[""a figurine of a fairy""]",Can you make a story with the character in the image who lost the thing on her back and make it a sad ending.,,"In the story, the character is a little girl dressed in a pink dress and holding a flower. She is a fairy or a little girl with wings, and she is playing with a toy. The toy is a small doll with wings, which she has placed on her back. The girl is enjoying her time playing with the toy, but suddenly, she loses the toy. She looks around frantically, but the toy is nowhere to be found. The girl is saddened by the loss of her toy, and she feels lonely and empty without it. She tries to find the toy, but it is nowhere to be seen. The girl is left with a sad and empty feeling, and she wonders if she will ever find her toy again."
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/219_tested_skill_write_a_story_56f713525b044dbb.png""]","[""an image of a soap bubble floating in the air""]","Write a sci-fi story about bubbles that appear and hatch mythical creatures from one four elements of earth, water, wind, and fire. Start with the elemental that is aligned with the image.",,"In a faraway land, a mysterious bubble appeared in the sky, capturing the attention of the entire kingdom. The people were mesmerized by the sight of the glistening orb, which seemed to beckon them to come closer. As they approached, they noticed that the bubble was filled with a strange liquid that seemed to be alive. The liquid began to move, and a creature emerged from within. It was a creature unlike anything they had ever seen before. It had the body of a fish, the wings of a bird, and the tail of a snake. The people were in awe of the creature's beauty and grace. They named it the Elemental of Water, and it became the symbol of their kingdom. The Elemental of Water was revered and protected by the people, and it lived in harmony with the land and the other Elementals. As time passed, more Elementals emerged from the bubbles, each representing a different element. The people learned to respect and care for the Elementals, and they lived in peace and harmony."
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/220_tested_skill_write_a_poem_975de58dedc8b374.png""]","[""a silhouette of a man holding a cup of coffee""]",Make a poem in Shakespeare style about the person and where he is at.,,"In this poem, we see a person holding a cup of coffee, standing on a hilltop, and looking out at the beautiful view. The scene is set in the evening, with the sun setting, and the person is enjoying the serenity of the moment. The person is likely reflecting on life, taking in the beauty of nature, and appreciating the simple pleasures of a warm beverage. The poem could be written in iambic pentameter, with a rhyme scheme of ABAB, and a tone that captures the tranquility and peacefulness of the scene."
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/221_tested_skill_write_a_poem_0063adbf0c5a46f3.png""]","[""a person holding a lit candle in the dark""]",Write a poem focusing on the contrast between the main item in this image and the background.,,"In this image, a hand holding a lit blue candle stands out against the dark background. The contrast between the light and the darkness creates a sense of mystery and intrigue. The candle's glow illuminates the hand, drawing attention to the person holding it. The candle's warmth and soft light create a cozy atmosphere, while the dark background suggests a sense of mystery and intrigue. The poem could explore the contrast between the light and the darkness, the warmth of the candle, and the person holding it."
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/275_tested_skill_who_to_call_overflowed-toilet-bowl.png""]","[""an illustration of a blue toilet with a puddle of water coming out of it""]",Write a poem that describes what's happening in this image. Be sure to rhyme what's keeping him warm with what went flat on his car.,,"A toilet sits alone in a blue bathroom,
Its seat is empty, and it's not for a shower.
The water has gone flat, and it's not for a flush,
But it's keeping him warm, and it's not for a flush.

The toilet's blue color is a sight to behold,
And it's not for a shower, it's not for a flush.
The water has gone flat, and it's not for a flush,
But it's keeping him warm, and it's not for a flush."
