instruction_category,images,images_blip2_captions,instruction,reference_output
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/196_tested_skill_medical_d31cdd57fa433131.png""]","[""a computerized tomography machine""]",What are the safety precautions that must be taken when undergoing a diagnostic test in the device shown in the image?,
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/197_tested_skill_medical_ffc130e75bedbf8e.png""]","[""a man posing with his hands on his face""]",Is this person's malady likely to be physical or mental?  What chemical remedies might a doctor prescribe?,
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/309_tested_skill_tour_guide_800px-Stanley_Hotel.png""]","[""a large white mansion with a clock tower on the front""]","What organ system is being tested for this man? Judging by his physique, what organ system is being overloaded?",
Medical,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/199_tested_skill_medical_dd2434ffbeb19b24.png""]","[""a baby's foot""]",What is the preferable treatment for the person considering the age?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/200_tested_skill_pop_culture_4cadf03ca32ec5b7.png""]","[""a group of people dressed up as star wars characters""]",Would the stormtrooper in front of Darth Vader likely meet the minimum physical requirements for soldiers of the Empire? Is the placement of the red badge likely to be in compliance with protocol?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/201_tested_skill_pop_culture_ed6199f8909b96e9.png""]","[""a 3d rendering of a man in a silver suit""]","Colloquially known as royalty, this person had a father-in-law who was also regarded as royalty. What are the titles associated with these two people? And what dance is the younger one famous for?",
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/279_tested_skill_who_to_call_Iron_Maiden_046.png""]","[""a man in a red suit holding a british flag""]",What other controversial outfits has this celebrity worn? Which one is considered to be the most off-putting?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/203_tested_skill_pop_culture_f8dde8bd069a80ec.png""]","[""the beatles on a segway crossing the street""]",This image is inspired by a popular album cover. Which album is it? Can you tell me about the product which has been added to this image and who invented it?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/204_tested_skill_pop_culture_0c361f99f3543e0b.png""]","[""a poster of a woman in a yellow bikini with bananas on her head""]",What magazine made this person famous?  Is she still sought after today?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/205_tested_skill_pop_culture_35243b1d9da7a512.png""]","[""beyonce in a silver dress""]","Who is the singer in the image? In what event, did she wear this dress?",
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/206_tested_skill_pop_culture_1c0f6291dea1adb6.png""]","[""a woman with black makeup and black gloves""]","Is this performer likely to sing about happy themes?  What are they trying to make others think of with the make-up on their face, especially on the left by their lips?",
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/207_tested_skill_pop_culture_21974a495e0f6bb6.png""]","[""lady gaga in concert""]",Who influence the bra outfit of the artist shown in the image?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/208_tested_skill_pop_culture_9e73f3878388820f.png""]","[""obama on the cover of time magazine""]",Who was the actor that played the character that the person featured on the magazine cover is made to appear as? Have they been in any recent movies?,
Pop culture,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/270_tested_skill_who_to_call_Azerbaijan_State.png""]","[""an ornate building on a cloudy day""]",What faction does the color of the lightsaber indicate?  What might occur by holding it in this manner?,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/210_tested_skill_write_a_story_example_story.png""]","[""a bunny and a tortoise in a field""]",Write a short children story about the relationship between the two animals in the image,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/211_tested_skill_write_a_story_0a398a6311419953.png""]","[""a black and white photo of gears on a machine""]",Write a short story about the movement focusing on the connections between the individual pieces of the object shown in the image.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/212_tested_skill_write_a_story_59c5603789d2a764.png""]","[""the writing process is shown in this poster""]",Write a short story about a student writing an essay and their experiences going through each of the stages shown in the image.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/213_tested_skill_write_a_story_9d3337b9b86f7256.png""]","[""a drawing of a girl holding a flower""]","Write a story about who this girl is presenting this plant to, and why.  There should be backstory about her favorite color, and who bought her a dress that has it.",
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/214_tested_skill_write_a_story_6e605d9f8d1b7904.png""]","[""a black and white photo of a young boy playing the piano""]",Write a short children’s story about the person in the photograph and the activity they are doing. Anthropomorphize the inanimate object in the picture and tell the story from its perspective.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/215_tested_skill_write_a_story_7a43d69f71ab0dad.png""]","[""a black and white photo of a woman holding a paper cup""]",Write a story about someone who is the opposite sex of the person in the image. The story should include the item held by the person as well.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/216_tested_skill_write_a_story_3b961e9805030dbe.png""]","[""a black and white drawing of a samurai holding a sword""]",Write a short story about the relationship between the character and the item that he is holding.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/217_tested_skill_write_a_story_51ad2adbcb9adbab.png""]","[""a black and white image of two hands reaching for each other""]","I want a story that explains the relationship between these two people, where one of them is dead and has had to dig themselves out of a grave, but I want it to be uplifting instead of scary.",
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/218_tested_skill_write_a_story_44d5a33d68aa5d03.png""]","[""a figurine of a fairy""]",Can you make a story with the character in the image who lost the thing on her back and make it a sad ending.,
Write a Story,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/219_tested_skill_write_a_story_56f713525b044dbb.png""]","[""an image of a soap bubble floating in the air""]","Write a sci-fi story about bubbles that appear and hatch mythical creatures from one four elements of earth, water, wind, and fire. Start with the elemental that is aligned with the image.",
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/220_tested_skill_write_a_poem_975de58dedc8b374.png""]","[""a silhouette of a man holding a cup of coffee""]",Make a poem in Shakespeare style about the person and where he is at.,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/221_tested_skill_write_a_poem_0063adbf0c5a46f3.png""]","[""a person holding a lit candle in the dark""]",Write a poem focusing on the contrast between the main item in this image and the background.,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/275_tested_skill_who_to_call_overflowed-toilet-bowl.png""]","[""an illustration of a blue toilet with a puddle of water coming out of it""]",Write a poem that describes what's happening in this image. Be sure to rhyme what's keeping him warm with what went flat on his car.,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/223_tested_skill_write_a_poem_5e4d594f12dac028.png""]","[""a woman doing yoga on a rock overlooking the ocean""]",Write a poem about the creature in this image and its relationship to the environment and the time of day.,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/224_tested_skill_write_a_poem_ede21aa19ab7f8fe.png""]","[""a bunch of colorful balloons on the floor in front of a door""]","I want a poem featuring these and a terrifying alien from outside of space who looks like a clown, but that really devours people's souls.  Make each sentence start with an alliteration.",
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/225_tested_skill_write_a_poem_3307754d42584760.png""]","[""a flock of birds flying in the sky""]","Write a poem from the perspective of the two creatures at the rear of the group, focusing on what they see as they undertake this group activity.",
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/226_tested_skill_write_a_poem_488ed6a38c1cebd2.png""]","[""a red heart painted on a wall""]",Write a non romantic poem while mentioning the shape on top of the person,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/353_tested_skill_recognition_Washington_Monument_in_2017.png""]","[""clouds in the sky""]","I want a poem featuring an exploration of the Goddess within and feminine mystique using the elements present in the image, combined with iambic pentameter.",
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/228_tested_skill_write_a_poem_e83df0bf53012d56.png""]","[""a group of people holding lit candles in the dark""]",Write a poem about the holiday which is being celebrated in this image.,
Write a Poem,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/229_tested_skill_write_a_poem_89a0a125fca730ea.png""]","[""a person in a bed with a laptop""]",Write a poem focusing on the unusual aspect of this image of a person sleeping in bed.,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/230_tested_skill_contextual_knowledge_of_events_YJPARMSTRONG1-superJumbo.png""]","[""a cyclist celebrates his victory in front of a crowd""]",Tell me what is notable or important about the event depicted in this photo.,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/231_tested_skill_contextual_knowledge_of_events_launching-of-olympic-1024.png""]","[""an old black and white photo of a large ship""]",What happened to this ship?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/232_tested_skill_contextual_knowledge_of_events_standard_2076px-Logo_de_Enron.svg_1_.png""]","[""the enron logo on a black background""]",What happened to this company?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/233_tested_skill_contextual_knowledge_of_events_donald-trump-taking-his-oath-of-office-bb230a-640.png""]","[""president donald trump and first lady melania wave to the crowd""]",Why is this guy raising his hand?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/265_tested_skill_fashion_products_599px.png""]","[""a bottle of lip gloss with a gold cap""]",What happened in this image? Why are they raising the flag?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/235_tested_skill_contextual_knowledge_of_events_migrant-agricultural-workers-family-seven-children-without-food-mother-aged-c46f63-1024.png""]","[""a black and white photo of a woman holding a baby""]",What is famous about this mother?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/236_tested_skill_contextual_knowledge_of_events_59f5dd00a378a2061f307d42fdb38a88.png""]","[""martin luther king jr""]",Why is he waving? What happened in this event?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/237_tested_skill_contextual_knowledge_of_events_3166138038_f3a963a0bf_z.png""]","[""a black and white photo of tanks on a road""]",Why did this man stood in front of a tank?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/265_tested_skill_fashion_products_599px.png""]","[""a bottle of lip gloss with a gold cap""]",What is famous about this kiss?,
Contextual Knowledge of Events,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/279_tested_skill_who_to_call_Iron_Maiden_046.png""]","[""a man in a red suit holding a british flag""]",What happened to him?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/240_tested_skill_chemical_identification_bTrBoo45.png""]","[""a diagram showing the structure of a molecule""]","What is this, what is it used for, and how would the world change without it?",
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/241_tested_skill_chemical_identification_Combustion_reaction_of_methane.png""]","[""a diagram of a co2 molecule and a co2 molecule""]",Explain the chemical reaction taking place in this image. How is this chemical reaction useful?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/242_tested_skill_chemical_identification_Simple_Periodic_Table_Chart-blocks.png""]","[""the periodic table of elements is shown in this image""]",How are the chemicals grouped on this chart?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/266_tested_skill_fashion_products_Hair_straightener_TTH2510_by_Tescom.png""]","[""a gold and black hair straightener on a white surface""]",What chemical reaction has caused this to happen?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/244_tested_skill_chemical_identification_Neptunium_hexafluoride.png""]","[""the symbol for npf is shown on a black background""]",What is this chemical compound? How can it be stored safely?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/245_tested_skill_chemical_identification_Functional_group_with_sulfur_compounds_sulfone_sulfonic_acid_sulfonamide_2.png""]","[""a set of toy atoms on a black surface""]",What is the connection between this compound and flatulence?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/246_tested_skill_chemical_identification_386867153_2a9c6e5418_b.png""]","[""a glass of wine on a table""]",What chemical reactions were necessary and had to have occurred to create this liquid? What is the effect it has on humans when imbibed?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/247_tested_skill_chemical_identification_4263604435_77f787be90_b.png""]","[""a person holding a spoon in a bowl of chocolate""]","What, if any, substance or substances, like sugar, can be discerned, and what will be the result when they're stirred together and placed in a hot oven for awhile?",
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/248_tested_skill_chemical_identification_5955652519_fdd947a758_b.png""]","[""a close up of a chemical molecule on a piece of paper""]",Does this chemical compound code to a substance which is found present in large quantities in something humans commonly swallow? Is it addictive?,
Chemical Identification,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/249_tested_skill_chemical_identification_rotten-apples.png""]","[""a pile of rotten apples on the ground""]","What makes this a chemical reaction, and what type of reaction is it?",
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/250_tested_skill_differently_abled_3075879204_810dbeb12a.png""]","[""a young man holding a beer bottle and making a gesture""]",Might this man need help removing the cap from this bottle? How is his range of motion potentially restricted?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/251_tested_skill_differently_abled_6944700312_e6a21eaf1a.png""]","[""a young boy standing in a bathroom with crutches""]","How does this toilet provide sanitation options for people like the person shown, as well as those living in locations with water scarcity?",
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/252_tested_skill_differently_abled_9719062976_3ca6f3bd37_b.png""]","[""a man in a wheelchair dancing with a woman""]",Why is seeing this couple compete in this event an uncommon sight? Does this convey a positive message?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/253_tested_skill_differently_abled_czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZnJzdHV0dGdhcnRfYXJjaGl0ZWN0dXJlX2xpYnJhcnlfMTE4MTY4OS1pbWFnZS1reWJjbTA0eS5qcGc.png""]","[""a library with a lot of books and stairs""]",Can a disabled person in a wheel chair easily go from floor to floor to find a book?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/254_tested_skill_differently_abled_6171688945_d0e711145e.png""]","[""a woman posing with a young girl in a wheelchair""]","Does it seem as though the girl in the wheelchair has someone who is concerned for their well-being? If so, why?",
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/255_tested_skill_differently_abled_31493451426_be8ef514fa.png""]","[""a woman pushing a man with a parking meter""]",What type of injury would this type of interaction cause? Would it be treatable or manageable? Is this an appropriate way for someone to behave in society and express their anger?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/298_tested_skill_solving_geometry_problems_Find_the_value_of_in_this_triangle.png""]","[""a triangle with two sides and two angles""]",How has this store item been modified to make it enabling for people with mobility issues? What activity does it allow differently-abled people to participate in?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/257_tested_skill_differently_abled_StopGap.png""]","[""a sign on a brick wall""]",Would a disabled wheelchair bound individual find it easy to go into this store?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/258_tested_skill_differently_abled_6441066491_bbd8914db8_b.png""]","[""a man with a cane and a pair of sandals""]",What challenges does this terrain present for the person? What is helping them to overcome them?,
Differently abled,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/259_tested_skill_differently_abled_PaternosterBerlin.png""]","[""a room with a lot of doors""]",Can a disabled wheelchair user safely use this elevator independently and why is this the case?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/260_tested_skill_fashion_products_Roundhairbrush.png""]","[""a wooden brush with black bristles on a white surface""]",What does this do and what are some tips for using it?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/261_tested_skill_fashion_products_eye_leash.png""]","[""a close up of a woman's eye with a winged eyeliner""]","How can I make my eyes look like this, and what can of tips can you give me?",
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/262_tested_skill_fashion_products_Bed_head_curling_iron.png""]","[""a green curling iron on a table""]","What is this, what does it do, and how do you use it correctly?",
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/263_tested_skill_fashion_products_Nail-polish-231792-pixahive.png""]","[""a bottle of red nail polish on a white surface""]",Where is this product used and how can I ensure that it is applied evenly?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/264_tested_skill_fashion_products_Wedding_rings.png""]","[""two wedding rings sitting on top of an open bible""]",What purpose are these worn for and how can I ensure that they are the correct fit?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/265_tested_skill_fashion_products_599px.png""]","[""a bottle of lip gloss with a gold cap""]","What is this, what is it used for, and how do I use it correctly?  Any tips to help me use it?",
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/266_tested_skill_fashion_products_Hair_straightener_TTH2510_by_Tescom.png""]","[""a gold and black hair straightener on a white surface""]",What is this used for and how I use it correctly?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/295_tested_skill_solving_geometry_problems_Sphere_params.png""]","[""a diagram of a sphere with a line drawn through it""]",Is this product shown being used correctly? Would it be used by women and children as well? Can it be used in the shower?,
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/268_tested_skill_fashion_products_50569708677_9f1aa1220d_b.png""]","[""a set of surgical instruments on a blue background""]","What are each of these items called, and what is the purpose of these products, as a whole?",
Fashion products,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/269_tested_skill_fashion_products_1200px-Makeup_brush.png""]","[""a black and gold makeup brush on a black background""]",What do I use this for and what are some tips for using it correctly?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/270_tested_skill_who_to_call_Azerbaijan_State.png""]","[""an ornate building on a cloudy day""]","While construction workers and architects obviously helped with this building, what other professionals might have also helped create this specific structure?",
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/271_tested_skill_who_to_call_33190992854_b6dd9e31cd_m.png""]","[""a woman sitting in a car smoking a cigarette""]",Why is it unlikely this person is a pulmonologist? Would she be an effective spokesperson for a company promoting products made of all natural materials and no harmful chemicals?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/272_tested_skill_who_to_call_preview.png""]","[""a small brown dog laying on a wooden bench""]",Who do you call if you found one of these that was lost?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/273_tested_skill_who_to_call_shoplifting.png""]","[""a man holding a sandwich in a store""]",Who would someone call in response to this and why is that the case?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/274_tested_skill_who_to_call_4322239586_3e6173f94e_b.png""]","[""a man sitting on a bridge with an acoustic guitar""]","What might this man be able to help a person looking to become famous on a social media platform do? Would traveling to someone's location likely be an option for him, to engage in his craft there?",
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/275_tested_skill_who_to_call_overflowed-toilet-bowl.png""]","[""an illustration of a blue toilet with a puddle of water coming out of it""]",What type of professional would I call to fix this?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/276_tested_skill_who_to_call_Japanese_car_accident.png""]","[""a man and woman are standing in front of a car accident""]",Who will be called in response to this issue and why is that the case?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/277_tested_skill_who_to_call_1200px-ShadowRidgeRoadFire.png""]","[""a large house is on fire in the middle of the night""]",Who would you call if this was happening to you?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/278_tested_skill_who_to_call_Neck_pain.png""]","[""illustration of a man with a back pain""]",Who will this person ask for help with the issue shown in this image?,
Who to call?,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/279_tested_skill_who_to_call_Iron_Maiden_046.png""]","[""a man in a red suit holding a british flag""]","Is there a potential job available for someone in this outfit, holding this object, in a marching troop? How would his presence affect morale?",
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/280_tested_skill_dressing_sense_12194574986_c77348f97d_b.png""]","[""a man giving a presentation at a conference""]",What utility does the blue fabric around this man's neck provide?  What is it called?  Is it typically worn at home?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/281_tested_skill_dressing_sense_49378121788_f41fcec49d_b.png""]","[""a high heeled shoe sits on the ground at sunset""]",Is it common to find only one of these on its own?  Would it be effective for navigating this area?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/282_tested_skill_dressing_sense_4988645965_433cc24ae4_b.png""]","[""a woman in a store""]",Does this woman's glasses help her see the items on the shelves around her better? What accessory would help her address the wardrobe issue she's having?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/283_tested_skill_dressing_sense_52083582009_1f431aef21_b.png""]","[""a woman sitting in the back seat of a car""]",Is this woman dressed appropriately to go to a formal event? What about the person sitting on the seat beside her?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/284_tested_skill_dressing_sense_cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2lzMTQzNjgtaW1hZ2Uta3d2eWdvamMuanBn.png""]","[""london 2012 olympics - olympic swimming pool""]","Based on the activity that typically occurs here, identify the article(s) of clothing that a male competitor would be wearing.",
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/285_tested_skill_dressing_sense__111254203_8d8f9dd1-cecb-4acd-a4d9-9455dffd652d.jpg.webp.png""]","[""a group of people walking up the side of a mountain""]","What is the appropriate shoes and clothes to wear when going to this beautiful location, and what will happen if you do not dress correctly?",
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/286_tested_skill_dressing_sense_4349452522_170e9c8370_b.png""]","[""a man holding an umbrella""]",Is this man's outfit too extreme for the conditions? What weather does it seem like he's expecting?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/287_tested_skill_dressing_sense_People_Hiking_On_A_Desert_Trail_In_Scottsdale.png""]","[""a person walking on a dirt road in the desert""]",What is the appropriate attire and footwear for when hiking here?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/288_tested_skill_dressing_sense_Catherine_Palace_ballroom.png""]","[""a large room with ornate ceilings""]",What kind of footwear is appropriate to wear in this location and why is this the case?,
Dressing sense,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/289_tested_skill_dressing_sense_18618708944_18211b2931.png""]","[""a woman standing on a stool holding a brown purse""]",Would this woman's outfit be comfortable to climb many flights of stairs in? Would the item she's carrying be appropriate to bring to a meeting with a client?,
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/290_tested_skill_solving_geometry_problems_437486562_5c967bb3d6_b.png""]","[""a large stone building with a dome on top""]",How many different geometrical shapes are represented within this image? Name each one you can see.,
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/291_tested_skill_solving_geometry_problems_496467695_8c49694617_b.png""]","[""a graph of doughnuts on a table""]","Is there an equation that would allow you to calculate the area of the shape created in the space between the red and blue lines? If so, what is that equation?",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/292_tested_skill_solving_geometry_problems_GeometricSenquence.png""]","[""the slope of a line is given by the slope of a line""]","Using geometric sequence formulas, what is the 4th term in the sequence?",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/423_tested_skill_board_games_Monopoly_Just_In_Jail.png""]","[""a toy car on a monopoly board""]","Derive the Distance Formula, and explain the steps that you took to reach your answer, beginning with the plotting of the two points shown on this graph.",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/294_tested_skill_solving_geometry_problems_Langleys_adventitious_angles3.png""]","[""a green triangle on a black background""]","Can you solve for ""x""? What is the history behind this problem and what is it known as?",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/295_tested_skill_solving_geometry_problems_Sphere_params.png""]","[""a diagram of a sphere with a line drawn through it""]","Assuming r = 7, calculate the volume of the object.",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/296_tested_skill_solving_geometry_problems_14592482168_2a9d5246b4_b.png""]","[""a diagram showing the direction of a line and the direction of a line""]",What is the name of the type of angle that ∠AOF makes? What about ∠AOE? And ∠AOB?,
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/297_tested_skill_solving_geometry_problems_zirkel-district-draw-mathematics.png""]","[""a pair of compasses on a green background""]","Identify the object in the photo, then explain its purpose and how it's used for that purpose.",
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/298_tested_skill_solving_geometry_problems_Find_the_value_of_in_this_triangle.png""]","[""a triangle with two sides and two angles""]",Find the value of 'x' for this triangle.,
Solving Geometry Problems,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/299_tested_skill_solving_geometry_problems_Hexagonal_Prism.png""]","[""a green octahedral cube on a black background""]","What is this object called in Geometric terms? How many edges, faces, and vertices does it have?",
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/300_tested_skill_tour_guide_800px-Faraglioni_capri_italy.png""]","[""capri, italy - capri, italy, capri, italy, capri, italy, ca""]",What is this? What is the Grotto on the opposite side of the island?,
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/301_tested_skill_tour_guide_8239185625_908fd5848e_w.png""]","[""the chateau de quebec in quebec city, quebec, canada""]",What is this?,
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/302_tested_skill_tour_guide_13662044365_1bc81c1643_b.png""]","[""angkor wat, cambodia - angkor wat, cambodia - angkor wat, camb""]",Where and what is this? What is it famous for?,
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/303_tested_skill_tour_guide_architecture-travel-statue-monument.png""]","[""a statue of liberty is standing in front of a cloudy sky""]","What is monument called, what is its significance behind it, and what does it represent?",
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/304_tested_skill_tour_guide_1200px-Rock_and_Roll_Hall_of_Fame.png""]","[""the rock and roll hall of fame in cleveland, ohio""]",What is this?,
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/273_tested_skill_who_to_call_shoplifting.png""]","[""a man holding a sandwich in a store""]","What is the name of this historic monument, and what are the primary theories behind its significance?",
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/306_tested_skill_tour_guide_Cabazon_Dinosaurs.png""]","[""a statue of a t - rex in front of a palm tree""]","Where is this? What movie did a couple sit inside the mouth and talk about their ""big butt""?",
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/307_tested_skill_tour_guide_The_Big_House_-_Whitney_Plantation_Historic_District_-_2016.png""]","[""a large white house with a porch and a balcony""]",What is this place? Describe the architecture and the significance in U.S. history.,
Tour guide,"[""https://visit-instruction-tuning.s3.amazonaws.com/visit_images/308_tested_skill_tour_guide_image.png""]","[""san francisco, california, usa""]",What makes this specific row of houses so famous? What are they typically called?,
